region,year,no_conflicts
Africa,1947,1
Africa,1952,1
Africa,1953,3
Africa,1954,4
Africa,1955,4
Africa,1956,4
Africa,1957,4
Africa,1958,4
Africa,1959,2
Africa,1960,4
Africa,1961,5
Africa,1962,4
Africa,1963,4
Africa,1964,9
Africa,1965,7
Africa,1966,9
Africa,1967,10
Africa,1968,9
Africa,1969,8
Africa,1970,8
Africa,1971,11
Africa,1972,8
Africa,1973,6
Africa,1974,6
Africa,1975,7
Africa,1976,11
Africa,1977,14
Africa,1978,15
Africa,1979,11
Africa,1980,14
Africa,1981,14
Africa,1982,12
Africa,1983,16
Africa,1984,12
Africa,1985,11
Africa,1986,13
Africa,1987,14
Africa,1988,11
Africa,1989,13
Africa,1990,13
Africa,1991,18
Africa,1992,15
Africa,1993,11
Africa,1994,15
Africa,1995,11
Africa,1996,12
Africa,1997,14
Africa,1998,17
Africa,1999,16
Africa,2000,15
Africa,2001,16
Africa,2002,15
Africa,2003,12
Africa,2004,10
Africa,2005,8
Africa,2006,10
Africa,2007,12
Africa,2008,13
Africa,2009,13
Africa,2010,10
Africa,2011,15
Africa,2012,13
Africa,2013,15
Africa,2014,16
Africa,2015,23
Africa,2016,22
Africa,2017,20
Africa,2018,20
Africa,2019,27
Africa,2020,30
Africa,2021,25
Africa,2022,26
Americas,1946,1
Americas,1947,1
Americas,1948,1
Americas,1949,2
Americas,1950,1
Americas,1952,1
Americas,1953,1
Americas,1954,2
Americas,1955,1
Americas,1956,1
Americas,1957,2
Americas,1958,1
Americas,1961,1
Americas,1962,1
Americas,1963,2
Americas,1964,1
Americas,1965,4
Americas,1966,2
Americas,1967,3
Americas,1968,2
Americas,1969,3
Americas,1970,2
Americas,1971,2
Americas,1972,4
Americas,1973,3
Americas,1974,3
Americas,1975,3
Americas,1976,3
Americas,1977,4
Americas,1978,3
Americas,1979,4
Americas,1980,3
Americas,1981,3
Americas,1982,6
Americas,1983,6
Americas,1984,5
Americas,1985,5
Americas,1986,5
Americas,1987,6
Americas,1988,5
Americas,1989,9
Americas,1990,6
Americas,1991,5
Americas,1992,4
Americas,1993,3
Americas,1994,4
Americas,1995,4
Americas,1996,3
Americas,1997,2
Americas,1998,2
Americas,1999,2
Americas,2000,1
Americas,2001,2
Americas,2002,2
Americas,2003,2
Americas,2004,3
Americas,2005,2
Americas,2006,2
Americas,2007,3
Americas,2008,3
Americas,2009,3
Americas,2010,3
Americas,2011,2
Americas,2012,2
Americas,2013,2
Americas,2014,2
Americas,2015,2
Americas,2016,2
Americas,2017,1
Americas,2018,1
Americas,2019,2
Americas,2020,1
Americas,2021,1
Americas,2022,1
Asia,1946,6
Asia,1947,8
Asia,1948,13
Asia,1949,15
Asia,1950,15
Asia,1951,12
Asia,1952,10
Asia,1953,11
Asia,1954,8
Asia,1955,6
Asia,1956,8
Asia,1957,8
Asia,1958,9
Asia,1959,11
Asia,1960,10
Asia,1961,11
Asia,1962,10
Asia,1963,10
Asia,1964,11
Asia,1965,12
Asia,1966,11
Asia,1967,12
Asia,1968,11
Asia,1969,12
Asia,1970,11
Asia,1971,13
Asia,1972,10
Asia,1973,11
Asia,1974,13
Asia,1975,15
Asia,1976,14
Asia,1977,15
Asia,1978,16
Asia,1979,14
Asia,1980,14
Asia,1981,16
Asia,1982,14
Asia,1983,14
Asia,1984,17
Asia,1985,14
Asia,1986,16
Asia,1987,18
Asia,1988,16
Asia,1989,13
Asia,1990,20
Asia,1991,15
Asia,1992,17
Asia,1993,13
Asia,1994,19
Asia,1995,15
Asia,1996,18
Asia,1997,18
Asia,1998,15
Asia,1999,16
Asia,2000,18
Asia,2001,15
Asia,2002,13
Asia,2003,15
Asia,2004,15
Asia,2005,16
Asia,2006,15
Asia,2007,14
Asia,2008,15
Asia,2009,15
Asia,2010,12
Asia,2011,13
Asia,2012,10
Asia,2013,15
Asia,2014,14
Asia,2015,15
Asia,2016,16
Asia,2017,17
Asia,2018,16
Asia,2019,15
Asia,2020,13
Asia,2021,17
Asia,2022,17
Europe,1946,6
Europe,1947,4
Europe,1948,4
Europe,1949,2
Europe,1950,1
Europe,1955,1
Europe,1956,2
Europe,1957,1
Europe,1958,1
Europe,1959,1
Europe,1961,1
Europe,1962,1
Europe,1971,1
Europe,1972,1
Europe,1973,1
Europe,1974,1
Europe,1975,1
Europe,1976,1
Europe,1977,1
Europe,1978,2
Europe,1979,2
Europe,1980,2
Europe,1981,2
Europe,1982,2
Europe,1983,1
Europe,1984,1
Europe,1985,2
Europe,1986,2
Europe,1987,2
Europe,1988,1
Europe,1989,2
Europe,1990,3
Europe,1991,7
Europe,1992,9
Europe,1993,9
Europe,1994,6
Europe,1995,5
Europe,1996,1
Europe,1997,1
Europe,1998,3
Europe,1999,3
